ACE2,RBD,Score
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.023055341,-0.015602402,-0.056835543 0.0006173855,-0.09598661,-0.046016414",5.0023
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.0150032705,-0.0062314565,-0.06928141 -0.012619139,-0.08510872,-0.05029242",5.0033
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.047305156,-0.027902624,-0.049828533 0.020310806,-0.11023044,-0.050829515",5.007
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.055727463,-0.02306349,-0.05343758 0.008865805,-0.106586814,-0.0383361",5.0046
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.04952701,-0.020896938,-0.042315926 0.018459592,-0.11392996,-0.055139825",5.0053
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.04850938,-0.026046049,-0.04342316 0.019246142,-0.10523409,-0.057524525",5.0082
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.02852333,-0.019014547,-0.04105543 -0.035657015,-0.07789605,-0.069617294",5.0049
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.024545735,-0.018399917,-0.038605507 -0.050071906,-0.079836726,-0.06728702",5.0098
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.02389335,-0.024832593,-0.03730356 -0.046193864,-0.08438938,-0.06293507",5.0103
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.022470614,-0.02419975,-0.047839653 -0.050051216,-0.07612464,-0.0700698",5.0062
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.02846526,-0.027832128,-0.05575813 -0.030358147,-0.079894,-0.066789865",5.0045
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.06308136,-0.011870583,-0.04285835 -0.01018807,-0.08396361,-0.052342642",5.0114
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.06798003,-0.004679291,-0.051311865 -0.015639722,-0.07464443,-0.05607804",5.006
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.055172235,-0.010839245,-0.049352773 -0.011179278,-0.08601998,-0.04903131",5.0094
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.034479287,-0.0024104354,-0.053631652 0.0030079845,-0.09737575,-0.040575944",5.0054
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.05193919,-0.011416452,-0.052475926 -0.013998575,-0.08714831,-0.04813208",5.0104
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.044824835,-0.00880642,-0.06083374 -0.019178849,-0.08004683,-0.04659192",5.0073
"0.05130617,-0.055534456,-0.051642764 -0.10294882,-0.01758095,0.077482596","0.049971074,-0.008294755,-0.052281905 -0.024001537,-0.08532302,-0.046479423",5.0031
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.02646958,-0.033174526,-0.05563749 -0.026195034,-0.060410343,-0.07199823",5.5345
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.013855443,-0.02226926,-0.05762649 -0.018504795,-0.06020775,-0.05945979",5.5441
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.016580587,-0.032460034,-0.05465871 -0.024379967,-0.06621236,-0.06963505",5.5532
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.038836032,-0.035421647,-0.049998853 -0.02453424,-0.061577957,-0.068592094",5.5664
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.006342252,-0.022455249,-0.055173438 -0.018921131,-0.05890072,-0.06842414",5.5794
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.040853925,-0.035600215,-0.04730041 -0.022593437,-0.061598126,-0.07000266",5.5759
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.04666412,-0.030151712,-0.056219116 -0.014585972,-0.09071081,-0.051075615",5.5467
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.029604875,-0.030271351,-0.069989905 -0.019523937,-0.05670124,-0.06707277",5.4694
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.036096312,-0.017799646,-0.05824702 -0.04177727,-0.05241589,-0.0402349",8.9002
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.00404085,-0.027249154,-0.060553905 -0.04338842,-0.041163262,-0.048501838",5.6122
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.040134273,-0.028625755,-0.05303971 -0.032203853,-0.056465484,-0.057501312",6.604
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.037692346,-0.016511634,-0.058424648 -0.039316192,-0.059216116,-0.034721952",8.4234
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.035894644,-0.019097477,-0.061080318 -0.038425744,-0.06106599,-0.040347375",11.4009
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.023471216,-0.019420516,-0.060560532 -0.043720245,-0.04707144,-0.03597228",6.1319
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.026069278,-0.024882397,-0.060680624 -0.038499042,-0.0697849,-0.03388014",10.9219
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.022413058,-0.0117175635,-0.059060607 -0.032238726,-0.07582905,-0.026120655",9.5154
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.0062999004,-0.014084268,-0.08442816 -0.03300891,-0.0598915,-0.037733473",5.5411
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.025018062,-0.027320486,-0.05497349 -0.027623132,-0.07015257,-0.037515413",10.3093
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.0278638,-0.011892186,-0.055463884 -0.05153383,-0.06733735,-0.010341257",11.0185
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","-0.032351878,-0.0559463,-0.06501481 -0.028435616,-0.05491547,-0.11509451",5.5391
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.03622056,-0.03428107,-0.039133392 -0.012105076,-0.06929726,-0.07569118",7.237
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","-0.023163734,-0.055329908,-0.056702137 -0.021575771,-0.06267932,-0.10542683",5.5302
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.008294074,-0.024623323,-0.057482157 -0.03919286,-0.041987896,-0.04487475",7.4768
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.010614625,-0.01888332,-0.0609688 -0.04184789,-0.038951673,-0.046921305",6.2819
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.009033507,-0.018093549,-0.06275415 -0.042456843,-0.038422853,-0.046361838",9.1473
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.004769126,-0.015648985,-0.073052056 -0.042160135,-0.044946197,-0.0382756",8.602
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","-0.00075938547,-0.018632594,-0.07374812 -0.04978489,-0.04151682,-0.037372645",8.3693
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.007093244,-0.02492592,-0.06714885 -0.036378343,-0.044027295,-0.04475196",11.2255
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.007602753,-0.018901287,-0.07042472 -0.040663507,-0.0424079,-0.042552765",9.0633
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.008514289,-0.01768931,-0.0648784 -0.035916023,-0.039983876,-0.04378342",9.0228
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.015102239,-0.016957011,-0.06507687 -0.03901294,-0.03422022,-0.05299863",8.5876
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.008414804,-0.01923854,-0.07633556 -0.048226625,-0.033714946,-0.047954753",5.5456
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.008961738,-0.01791971,-0.07789032 -0.05099344,-0.038355123,-0.04540514",5.531
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.0064307936,-0.024829485,-0.07980036 -0.048213802,-0.035376027,-0.05023133",5.5178
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.0041502696,-0.026185542,-0.07177154 -0.04438784,-0.03092099,-0.050378546",5.5392
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.0026189103,-0.019559463,-0.087235674 -0.05447485,-0.03352067,-0.036159832",5.6228
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.009496653,-0.022026803,-0.06462645 -0.03856474,-0.043876857,-0.049119275",5.5029
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.008418533,-0.017130952,-0.056323368 -0.04253885,-0.046308447,-0.037347417",6.5081
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.023142694,-0.0027605628,-0.08252598 -0.06780611,-0.040215082,-0.035003077",7.0195
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.00818463,-0.025745703,-0.05883627 -0.034793608,-0.049494278,-0.040553235",7.3687
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.014689199,-0.026177924,-0.056753524 -0.03162397,-0.050624285,-0.052537207",7.3188
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.012901314,-0.027531208,-0.05670464 -0.03075763,-0.0486584,-0.051844496",7.1722
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.015571441,-0.025537059,-0.059165694 -0.030572593,-0.050394177,-0.051654145",7.1723
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.040610965,-0.029448994,-0.06105773 -0.0142391035,-0.07682903,-0.05424519",5.5712
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.035640333,-0.03353995,-0.05931757 -0.021651292,-0.07859977,-0.07498567",5.5853
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.043240417,-0.035719663,-0.058117926 -0.013166194,-0.0803627,-0.05870971",5.6357
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.014358389,-0.0011179049,-0.06930635 -0.023040747,-0.06880333,-0.011878538",5.8457
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.042896025,-0.02562217,-0.06400936 -0.032636236,-0.055277802,-0.039389763",5.5712
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.03252849,-0.0057009296,-0.06025492 -0.050784655,-0.05307722,-0.054704864",6.0358
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.035862625,-0.010587317,-0.06577323 -0.042538434,-0.06005918,-0.057722222",5.824
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.014718485,-0.020495415,-0.03129319 0.006141618,-0.10003012,-0.043400798",5.6178
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.03373173,-0.010375264,-0.044329967 0.0044004195,-0.09680416,-0.04631055",5.5989
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.014281388,-0.004096622,-0.07271382 0.005456233,-0.0837746,-0.03846404",5.5779
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.023055341,-0.015602402,-0.056835543 0.0006173855,-0.09598661,-0.046016414",5.6415
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.0150032705,-0.0062314565,-0.06928141 -0.012619139,-0.08510872,-0.05029242",5.6766
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.047305156,-0.027902624,-0.049828533 0.020310806,-0.11023044,-0.050829515",5.6423
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.055727463,-0.02306349,-0.05343758 0.008865805,-0.106586814,-0.0383361",5.6362
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.04952701,-0.020896938,-0.042315926 0.018459592,-0.11392996,-0.055139825",5.7357
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.04850938,-0.026046049,-0.04342316 0.019246142,-0.10523409,-0.057524525",5.6079
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.02852333,-0.019014547,-0.04105543 -0.035657015,-0.07789605,-0.069617294",5.5785
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.024545735,-0.018399917,-0.038605507 -0.050071906,-0.079836726,-0.06728702",5.5573
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.02389335,-0.024832593,-0.03730356 -0.046193864,-0.08438938,-0.06293507",5.6055
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.022470614,-0.02419975,-0.047839653 -0.050051216,-0.07612464,-0.0700698",5.5789
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.02846526,-0.027832128,-0.05575813 -0.030358147,-0.079894,-0.066789865",5.5693
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.06308136,-0.011870583,-0.04285835 -0.01018807,-0.08396361,-0.052342642",5.5578
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.06798003,-0.004679291,-0.051311865 -0.015639722,-0.07464443,-0.05607804",5.5516
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.055172235,-0.010839245,-0.049352773 -0.011179278,-0.08601998,-0.04903131",5.5846
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.034479287,-0.0024104354,-0.053631652 0.0030079845,-0.09737575,-0.040575944",5.6189
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.05193919,-0.011416452,-0.052475926 -0.013998575,-0.08714831,-0.04813208",5.57
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.044824835,-0.00880642,-0.06083374 -0.019178849,-0.08004683,-0.04659192",5.5747
"0.04767351,-0.06019687,-0.05990505 -0.100366905,-0.013228359,0.06478976","0.049971074,-0.008294755,-0.052281905 -0.024001537,-0.08532302,-0.046479423",5.5624
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.02646958,-0.033174526,-0.05563749 -0.026195034,-0.060410343,-0.07199823",5.0562
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.013855443,-0.02226926,-0.05762649 -0.018504795,-0.06020775,-0.05945979",5.0424
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.016580587,-0.032460034,-0.05465871 -0.024379967,-0.06621236,-0.06963505",5.0727
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.038836032,-0.035421647,-0.049998853 -0.02453424,-0.061577957,-0.068592094",5.069
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.006342252,-0.022455249,-0.055173438 -0.018921131,-0.05890072,-0.06842414",5.0324
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.040853925,-0.035600215,-0.04730041 -0.022593437,-0.061598126,-0.07000266",5.067
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.04666412,-0.030151712,-0.056219116 -0.014585972,-0.09071081,-0.051075615",5.0369
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.029604875,-0.030271351,-0.069989905 -0.019523937,-0.05670124,-0.06707277",7.0335
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.036096312,-0.017799646,-0.05824702 -0.04177727,-0.05241589,-0.0402349",7.4294
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.00404085,-0.027249154,-0.060553905 -0.04338842,-0.041163262,-0.048501838",5.4524
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.040134273,-0.028625755,-0.05303971 -0.032203853,-0.056465484,-0.057501312",10.6091
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.037692346,-0.016511634,-0.058424648 -0.039316192,-0.059216116,-0.034721952",6.3593
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.035894644,-0.019097477,-0.061080318 -0.038425744,-0.06106599,-0.040347375",10.8565
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.023471216,-0.019420516,-0.060560532 -0.043720245,-0.04707144,-0.03597228",8.4266
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.026069278,-0.024882397,-0.060680624 -0.038499042,-0.0697849,-0.03388014",8.0791
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.022413058,-0.0117175635,-0.059060607 -0.032238726,-0.07582905,-0.026120655",7.1794
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.0062999004,-0.014084268,-0.08442816 -0.03300891,-0.0598915,-0.037733473",5.0525
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.025018062,-0.027320486,-0.05497349 -0.027623132,-0.07015257,-0.037515413",5.9929
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.0278638,-0.011892186,-0.055463884 -0.05153383,-0.06733735,-0.010341257",8.0093
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","-0.032351878,-0.0559463,-0.06501481 -0.028435616,-0.05491547,-0.11509451",5.7079
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.03622056,-0.03428107,-0.039133392 -0.012105076,-0.06929726,-0.07569118",10.7918
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","-0.023163734,-0.055329908,-0.056702137 -0.021575771,-0.06267932,-0.10542683",7.3731
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.008294074,-0.024623323,-0.057482157 -0.03919286,-0.041987896,-0.04487475",9.4013
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.010614625,-0.01888332,-0.0609688 -0.04184789,-0.038951673,-0.046921305",9.249
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.009033507,-0.018093549,-0.06275415 -0.042456843,-0.038422853,-0.046361838",10.4049
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.004769126,-0.015648985,-0.073052056 -0.042160135,-0.044946197,-0.0382756",10.007
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","-0.00075938547,-0.018632594,-0.07374812 -0.04978489,-0.04151682,-0.037372645",9.7854
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.007093244,-0.02492592,-0.06714885 -0.036378343,-0.044027295,-0.04475196",11.4061
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.007602753,-0.018901287,-0.07042472 -0.040663507,-0.0424079,-0.042552765",10.3145
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.008514289,-0.01768931,-0.0648784 -0.035916023,-0.039983876,-0.04378342",10.2987
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.015102239,-0.016957011,-0.06507687 -0.03901294,-0.03422022,-0.05299863",10.0339
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.008414804,-0.01923854,-0.07633556 -0.048226625,-0.033714946,-0.047954753",11.2927
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.008961738,-0.01791971,-0.07789032 -0.05099344,-0.038355123,-0.04540514",10.2591
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.0064307936,-0.024829485,-0.07980036 -0.048213802,-0.035376027,-0.05023133",11.3685
"0.04669489,-0.061690465,-0.04348991 -0.099298485,-0.008802739,0.061173424","0.0041502696,-0.026185542,-0.07177154 -0.04438784,-0.03092099,-0.050378546",9.5284
